source,target
Emperor_penguin,Emperor_Penguin_(music)
Great_auk,Neogene
Mya_(unit),Adele
Danian,Triassic
Danian,Jurassic
Danian,Cretaceous
Danian,Paleogene
Danian,Neogene
Danian,Template_talk:Paleogene_graphical_timeline
Danian,Mesozoic
Danian,Cenozoic
Danian,Late_Cretaceous
Danian,Paleocene
Ordovician,Triassic
Ordovician,Jurassic
Ordovician,Cretaceous
Ordovician,Paleogene
Ordovician,Neogene
Ordovician,Template_talk:Ordovician_graphical_timeline
Ordovician,Paleozoic
Ordovician,Early_Ordovician
Ordovician,Middle_Ordovician
Carboniferous,Devonian
Carboniferous,Permian
Carboniferous,Triassic
Carboniferous,Jurassic
Carboniferous,Cretaceous
Carboniferous,Paleogene
Carboniferous,Neogene
Carboniferous,Template_talk:Carboniferous_graphical_timeline
Carboniferous,Paleozoic
Carboniferous,Mississippian_(geology)
Carboniferous,Pennsylvanian_(geology)
Silurian,Year
Silurian,Precambrian
Silurian,Cambrian
Silurian,Ordovician
Silurian,Devonian
Silurian,Carboniferous
Penguin_(disambiguation),Penguin_(album)
Penguin_(disambiguation),Penguin_(character)
Penguin_(disambiguation),Penguin_(film)
Penguin_(disambiguation),Penguins_(film)
Penguin_(disambiguation),The_Penguins_of_Madagascar
Penguin_(disambiguation),Teletubbies
Penguin_(disambiguation),Penguin_(book)
Precambrian,Cryptozoic_Entertainment
Precambrian,Year
Precambrian,Phanerozoic
Precambrian,Proterozoic
Precambrian,Archean
Precambrian,Hadean
Precambrian,Geologic_time_scale
Precambrian,Template_talk:Eons_graphical_timeline
Precambrian,Eoarchean
Devonian,Year
Devonian,Precambrian
Devonian,Cambrian
Devonian,Ordovician
Devonian,Silurian
Devonian,Carboniferous
Devonian,Permian
Devonian,Triassic
Permian,Capitanian
Permian,Wuchiapingian
Permian,Changhsingian
Permian,Permian%E2%80%93Triassic_extinction_event
Permian,Capitanian_mass_extinction_event
Permian,Olson%27s_Extinction
Cambrian,Permian
Cambrian,Triassic
Cambrian,Jurassic
Cambrian,Cretaceous
Cambrian,Paleogene
Cambrian,Neogene
Cambrian,Neoproterozoic
Cambrian,Paleozoic
Cambrian,Ediacaran
Megaannum,Julian_year_(astronomy)
Megaannum,Unit_of_time
Megaannum,Day
Megaannum,Second
Megaannum,SI_base_unit
Megaannum,Seasonal_year
Megaannum,Fiscal_year
Megaannum,Academic_year
Triassic,System_(stratigraphy)
Triassic,Conodont
Triassic,Hindeodus
Triassic,Meishan
Triassic,Zhejiang
Triassic,China
Holocene,North_Greenland_Ice_Core_Project
Holocene,Greenland
Holocene,Human_history
Holocene,Prehistory
Holocene,Timelines_of_world_history
Holocene,Neolithic_Revolution
Penguin,Palaeeudyptes
Chordate,Fortunian
Chordate,Holocene
Chordate,Megaannum
Chordate,Precambrian
Taxonomy_(biology),Scientific_classification_(disambiguation)
Taxonomy_(biology),Taxidermy
Taxonomy_(biology),Evolution
Taxonomy_(biology),Darwin%27s_finches
Taxonomy_(biology),John_Gould
Taxonomy_(biology),Introduction_to_evolution
Taxonomy_(biology),Common_descent
Family_(biology),Protein_family
Family_(biology),Life
Family_(biology),Domain_(biology)
Family_(biology),Kingdom_(biology)
Family_(biology),Phylum
Family_(biology),Class_(biology)
Emperor_penguin,Snow_Hill_Island
Emperor_penguin,Antarctic_Peninsula
Emperor_penguin,Conservation_status
Emperor_penguin,Near_Threatened
Emperor_penguin,IUCN_Red_List
Emperor_penguin,Taxonomy_(biology)
Emperor_penguin,Animal
Great_auk,Holocene
Great_auk,Precambrian
Great_auk,Cambrian
Great_auk,Ordovician
Great_auk,Silurian
Mya_(unit),Million_Years_Ago_(song)
Mya_(unit),One_million_(disambiguation)
Mya_(unit),Taake
Mya_(unit),Noregs_vaapen
Mya_(unit),Myr_(disambiguation)
Danian,Eocene
Danian,Oligocene
Danian,Miocene
Ordovician,Late_Ordovician
Ordovician,Tremadocian
Ordovician,Floian
Ordovician,Dapingian
Carboniferous,Early_Mississippian
Carboniferous,Middle_Mississippian
Carboniferous,Late_Mississippian
Carboniferous,Early_Pennsylvanian
Carboniferous,Middle_Pennsylvanian
Carboniferous,Late_Pennsylvanian
Bird,Bird_(disambiguation)
Silurian,Permian
Silurian,Triassic
Silurian,Jurassic
Silurian,Cretaceous
Silurian,Paleogene
Silurian,Neogene
Silurian,Template_talk:Silurian_graphical_timeline
Silurian,Paleozoic
Penguin_(disambiguation),The_Blues_Brothers_(film)
Penguin_(disambiguation),Opus_the_Penguin
Precambrian,Paleoarchean
Precambrian,Mesoarchean
Precambrian,Neoarchean
Precambrian,Paleoproterozoic
Precambrian,Mesoproterozoic
Animal,Animal_(disambiguation)
Devonian,Jurassic
Devonian,Cretaceous
Devonian,Paleogene
Devonian,Neogene
Devonian,Template_talk:Devonian_graphical_timeline
Devonian,Paleozoic
Devonian,Lochkovian
Devonian,Pragian
Permian,International_Commission_on_Stratigraphy
Permian,Geological_history_of_Earth
Permian,Geological_period
Permian,System_(stratigraphy)
Permian,First_appearance_datum
Cambrian,Terreneuvian
Cambrian,Cambrian_Series_2
Cambrian,Miaolingian
Cambrian,Furongian
Cambrian,Fortunian
Cambrian,Cambrian_Stage_2
Cambrian,Cambrian_Stage_3
Cambrian,Cambrian_Stage_4
Cambrian,Wuliuan
Megaannum,Planet
Megaannum,Martian_year
Megaannum,Venus
Megaannum,Great_Year
Megaannum,West_Saxon_dialect_(Old_English)
Megaannum,Anglian_dialects
Megaannum,Proto-Germanic
Megaannum,Old_High_German
Triassic,Ammonite
Triassic,Psiloceras
Triassic,Karwendel
Triassic,Northern_Calcareous_Alps
Triassic,Oxygen
Triassic,Carbon_dioxide
Triassic,Parts_per_million
Triassic,Geologic_period
Holocene,Contemporary_history
Holocene,Common_Era
Holocene,Discovery_of_human_antiquity
Holocene,Recorded_history
Holocene,History_of_writing
Holocene,Protohistory
Holocene,Proto-writing
Holocene,Ancient_history
Holocene,Bronze_Age
Penguin,Icadyptes
Penguin,Pachydyptes
Penguin,Inkayacu
Penguin,Kairuku
Penguin,Paraptenodytes
Penguin,Spheniscinae
Penguin,Basal_(phylogenetics)
Flight_feather,Red_kite
Season,Season_(disambiguation)
Axial_tilt,Obliquity_(book)
Earth%27s_orbit,Earth_orbit
Chordate,Cambrian
Chordate,Ordovician
Chordate,Silurian
Chordate,Devonian
Chordate,Carboniferous
Chordate,Permian
Chordate,Triassic
Taxonomy_(biology),Evidence_of_common_descent
Taxonomy_(biology),Population_genetics
Taxonomy_(biology),Genetic_variation
Family_(biology),Order_(biology)
Family_(biology),Family_(biology)
Family_(biology),Genus
Family_(biology),Species
Family_(biology),Biological_classification
Family_(biology),Taxonomic_rank
Family_(biology),Linnaean_taxonomy
Emperor_penguin,Chordate
Emperor_penguin,Bird
Emperor_penguin,Penguin
Emperor_penguin,Aptenodytes
Great_auk,Devonian
Great_auk,Carboniferous
Great_auk,Permian
Great_auk,Triassic
Great_auk,Jurassic
Mya_(unit),Unit_of_measurement
Danian,Maastrichtian
Danian,Selandian
Ordovician,Darriwilian
Ordovician,Sandbian
Ordovician,Katian
Ordovician,Hirnantian
Ordovician,Land_plant
Ordovician,Spores
Ordovician,Ordovician_meteor_event
Carboniferous,Tournaisian
Carboniferous,Vis%C3%A9an
Carboniferous,Serpukhovian
Carboniferous,Bashkirian
Carboniferous,Moscovian_(Carboniferous)
Carboniferous,Kasimovian
Carboniferous,Gzhelian
Carboniferous,Carboniferous_Rainforest_Collapse
Bird,Birds_(disambiguation)
Bird,Aves_(disambiguation)
Bird,Avifauna_(disambiguation)
Bird,Late_Cretaceous
Bird,Holocene
Bird,Precambrian
Bird,Cambrian
Silurian,Llandovery_epoch
Silurian,Wenlock_epoch
Silurian,Ludlow_epoch
Silurian,Pridoli_epoch
Silurian,Rhuddanian
Silurian,Aeronian
Silurian,Telychian
Penguin_(disambiguation),Club_Penguin
Penguin_(disambiguation),Club_Penguin_Island
Penguin_(disambiguation),Pingu
Penguin_(disambiguation),Penguin_(restaurant)
Precambrian,Neoproterozoic
Precambrian,Paleozoic
Precambrian,Mesozoic
Animal,Animalia_(disambiguation)
Animal,Cryogenian
Animal,Phanerozoic
Animal,Proterozoic
Devonian,Emsian
Devonian,Eifelian
Permian,Conodont
Permian,Streptognathodus
Permian,Morphotype
Cambrian,Drumian
Cambrian,Guzhangian
Cambrian,Paibian
Cambrian,Jiangshanian
Cambrian,Cambrian_Stage_10
Megaannum,Old_Norse
Megaannum,Proto-Indo-European
Megaannum,Ablaut
Megaannum,Avestan
Megaannum,Ancient_Greek
Triassic,Extinction_event
Triassic,Therapsid
Triassic,Archosaur
Triassic,Dinosaur
Triassic,Mammal
Holocene,Iron_Age
Holocene,Axial_Age
Penguin,Fossil
Penguin,Anthropodyptes
Penguin,Arthrodytes
Penguin,Crossvallia
Penguin,Kupoupou
Flight_feather,Pennaceous_feather
Flight_feather,Wing
Flight_feather,Thrust
Axial_tilt,Astronomy
Axial_tilt,Rotation_around_a_fixed_axis
Axial_tilt,Orbit
Earth%27s_orbit,Earth
Chordate,Jurassic
Chordate,Cretaceous
Chordate,Paleogene
Chordate,Neogene
Taxonomy_(biology),Genetic_diversity
Taxonomy_(biology),Mutation
Taxonomy_(biology),Natural_selection
Taxonomy_(biology),Adaptation
Taxonomy_(biology),Polymorphism_(biology)
Taxonomy_(biology),Genetic_drift
Family_(biology),Subfamily
Family_(biology),Latin
Family_(biology),Walnut
Family_(biology),Hickory
Family_(biology),Juglandaceae
Family_(biology),Botanical_nomenclature
Family_(biology),Compositae
Family_(biology),Gramineae
Emperor_penguin,Binomial_nomenclature
Emperor_penguin,George_Robert_Gray
Emperor_penguin,Endemism_in_birds
Great_auk,Cretaceous
Great_auk,Paleogene
Great_auk,Kelvingrove_Art_Gallery_and_Museum
Great_auk,Glasgow
Great_auk,Conservation_status
Great_auk,Extinction
Great_auk,IUCN_Red_List
Great_auk,Taxonomy_(biology)
Orbital_period,Orbital_Period_(album)
Mya_(unit),Earth_science
Mya_(unit),Cosmology
Mya_(unit),Calendar_era
Mya_(unit),Geology
Mya_(unit),Astronomy
Standard_time,Standard_time_(manufacturing)
Danian,Thanetian
Danian,Ypresian
Danian,Lutetian
Danian,Bartonian
Danian,Priabonian
Danian,Rupelian
Ordovician,International_Commission_on_Stratigraphy
Ordovician,Geological_history_of_Earth
Ordovician,Geological_period
Ordovician,System_(stratigraphy)
Ordovician,Charles_Lapworth
Ordovician,First_appearance_datum
Ordovician,Conodont
Carboniferous,Mazon_Creek_fossil_beds
Carboniferous,Romer%27s_Gap
Carboniferous,International_Commission_on_Stratigraphy
Carboniferous,Geological_history_of_Earth
Carboniferous,Geological_period
Carboniferous,System_(stratigraphy)
Bird,Ordovician
Bird,Silurian
Bird,Devonian
Bird,Carboniferous
Bird,Permian
Bird,Triassic
Bird,Jurassic
Silurian,Sheinwoodian
Silurian,Homerian
Silurian,Gorstian
Silurian,Ludfordian
Silurian,Lau_event
Silurian,Mulde_event
Silurian,Ireviken_event
Penguin_(disambiguation),Nahariya
Penguin_(disambiguation),Israel
Penguin_(disambiguation),Penguin_Computing
Penguin_(disambiguation),Penguin_Group
Penguin_(disambiguation),Penguin_Books
Penguin_(disambiguation),Penguin_Software
Penguin_(disambiguation),WGHJ
Precambrian,Cenozoic
Precambrian,Geological_history_of_Earth
Precambrian,International_Commission_on_Stratigraphy
Precambrian,Earth
Precambrian,Trace_fossil
Animal,Archean
Animal,Hadean
Animal,Echinoderm
Animal,Cnidaria
Animal,Bivalve
Animal,Tardigrade
Animal,Crustacean
Animal,Arachnid
Devonian,Givetian
Devonian,Frasnian
Devonian,Famennian
Devonian,Rhynie_chert
Devonian,Hangenberg_event
Devonian,Hunsr%C3%BCck_Slates
Devonian,International_Commission_on_Stratigraphy
Devonian,Geological_history_of_Earth
Devonian,Geological_period
Permian,Ural_Mountains
Permian,Kazakhstan
Permian,Hindeodus
Permian,Meishan
Permian,Zhejiang
Cambrian,Orsten
Cambrian,Burgess_Shale
Cambrian,Kaili_biota
Cambrian,Archaeocyatha
Cambrian,Emu_Bay_shale
Cambrian,Sirius_Passet
Cambrian,Chengjiang_biota
Cambrian,Trilobite
Cambrian,Small_shelly_fauna
Megaannum,Hour
Megaannum,Old_Church_Slavonic
Megaannum,Latin
Megaannum,Annus
Megaannum,2nd_declension
Megaannum,Accusative_case
Megaannum,Vedic_Sanskrit
Megaannum,Anno_Domini
Megaannum,Sanskrit
Triassic,Pterosaur
Triassic,Supercontinent
Triassic,Pangaea
Triassic,Laurasia
Triassic,Gondwana
Triassic,Friedrich_August_von_Alberti
Holocene,Classical_antiquity
Holocene,Late_antiquity
Holocene,Mesoamerica
Holocene,Andean_civilizations
Holocene,History_of_East_Asia
Holocene,Outline_of_South_Asian_history
Holocene,Ancient_Near_East
Holocene,Post-classical_history
Holocene,Pre-Columbian_era
Holocene,History_of_Oceania
Penguin,Kaiika
Penguin,Korora
Penguin,Inguza
Penguin,Muriwaimanu
Penguin,Palaeoapterodytes
Penguin,Pseudaptenodytes
Sun,Sun_(disambiguation)
Earth,World
Flight_feather,Lift_(force)
Flight_feather,Bird_flight
Flight_feather,Owl
Flight_feather,Woodpecker
Flight_feather,Posterior_(anatomy)
Flight_feather,Ligament
Flight_feather,Tendon
Flight_feather,Symmetry
Flight_feather,Mutation
Flight_feather,Manus_(zoology)
Flight_feather,Phalanges
Season,Weather
Season,Winter
Season,Spring_(season)
Season,Summer
Season,Autumn
Season,Tropics
Season,Dry_season
Season,Harmattan
Season,Wet_season
Season,Storm
Axial_tilt,Equator
Axial_tilt,Orbital_plane_(astronomy)
Axial_tilt,Orbital_inclination
Axial_tilt,Orbital_period
Axial_tilt,Celestial_sphere
Axial_tilt,Fixed_stars
Axial_tilt,Sun
Axial_tilt,Season
Axial_tilt,Earth
Earth%27s_orbit,Orbit
Earth%27s_orbit,Sun
Earth%27s_orbit,Astronomical_unit
Earth%27s_orbit,Sidereal_year
Earth%27s_orbit,Ellipse
Earth%27s_orbit,Barycenter
Earth%27s_orbit,Focus_(geometry)
Earth%27s_orbit,Orbital_eccentricity
Earth%27s_orbit,Prograde_motion
Chordate,Vertebrate
Chordate,Vetulicolia
Chordate,Tunicate
Chordate,Cephalochordate
Chordate,Siberian_Tiger
Chordate,Vertebrata
Chordate,Polycarpa_aurata
Chordate,Olfactores
Chordate,Ooedigera
Chordate,Branchiostoma_lanceolatum
Chordate,Cephalochordata
Taxonomy_(biology),Gene_flow
Taxonomy_(biology),Speciation
Taxonomy_(biology),Adaptive_radiation
Taxonomy_(biology),Co-operation_(evolution)
Taxonomy_(biology),Coevolution
Taxonomy_(biology),Coextinction
Taxonomy_(biology),Divergent_evolution
Taxonomy_(biology),Convergent_evolution
Family_(biology),Pierre_Magnol
Family_(biology),Carl_Linnaeus
Family_(biology),Tree
Family_(biology),Herb
Family_(biology),Fern
Family_(biology),Palmae
Family_(biology),Michel_Adanson
Family_(biology),Ordo_naturalis
Family_(biology),Zoology
Emperor_penguin,Antarctica
Emperor_penguin,Plumage
Emperor_penguin,Habitat
Emperor_penguin,Fish
Emperor_penguin,Crustacean
Emperor_penguin,Krill
Emperor_penguin,Cephalopod
Great_auk,Animal
Great_auk,Chordate
Great_auk,Bird
Great_auk,Charadriiformes
Great_auk,Auk
Great_auk,Pierre_Joseph_Bonnaterre
Great_auk,Binomial_nomenclature
Orbital_period,Orbital_mechanics
Orbital_period,Orbital_elements
Orbital_period,Apsis
Orbital_period,Argument_of_periapsis
Orbital_period,Orbital_eccentricity
Orbital_period,Orbital_inclination
Orbital_period,Mean_anomaly
Orbital_period,Orbital_node
Mya_(unit),ISO_31-1
Mya_(unit),ISO_80000-3
Mya_(unit),Before_Present
Mya_(unit),Billion_years
Mya_(unit),Kyr
Mya_(unit),Geological_Society_of_America
Standard_time,Clock
Standard_time,Local_mean_time
Standard_time,Weather_forecasting
Standard_time,Time_zone
Standard_time,UTC_offset
Standard_time,Universal_Time
Standard_time,Daylight_saving_time
Standard_time,Time
Danian,Chattian
Danian,Aquitanian_(stage)
Danian,Paleocene%E2%80%93Eocene_Thermal_Maximum
Danian,Ice-sheet
Danian,Cretaceous%E2%80%93Paleogene_extinction_event
Danian,International_Commission_on_Stratigraphy
Danian,Tertiary
Danian,Geological_period
Danian,System_(stratigraphy)
Danian,Geological_history_of_Earth
Ordovician,Iapetognathus_fluctivagus
Ordovician,"Green_Point,_Newfoundland"
Ordovician,Newfoundland
Ordovician,Canada
Ordovician,Graptolite
Carboniferous,William_Daniel_Conybeare
Carboniferous,William_Phillips_(geologist)
Carboniferous,First_appearance_datum
Carboniferous,Conodont
Carboniferous,Siphonodella
Carboniferous,La_Serre
Bird,Cretaceous
Bird,Paleogene
Bird,Neogene
Bird,Red-crested_turaco
Bird,Steller%27s_sea_eagle
Bird,Rock_dove
Bird,Southern_cassowary
Silurian,International_Commission_on_Stratigraphy
Silurian,Geological_history_of_Earth
Silurian,Geological_period
Silurian,System_(stratigraphy)
Silurian,Roderick_Murchison
Penguin_(disambiguation),WFBT_(FM)
Penguin_(disambiguation),WUIN_(FM)
Penguin_(disambiguation),Penguin_Mints
Penguin_(disambiguation),Penguin_(biscuit)
Penguin_(disambiguation),HMS_Penguin
Penguin_(disambiguation),USS_Penguin
Penguin_(disambiguation),HMAS_Penguin
Precambrian,Treptichnus_pedum
Precambrian,Fortune_Head
Precambrian,Newfoundland
Precambrian,Canada
Precambrian,History_of_the_Earth
Precambrian,Cambrian
Precambrian,Geologic_period
Animal,Sponge
Animal,Insect
Animal,Mammal
Animal,Bryozoa
Animal,Acanthocephala
Animal,Flatworm
Devonian,System_(stratigraphy)
Devonian,First_appearance_datum
Devonian,Graptolite
Devonian,Monograptus
Devonian,Klonk
Devonian,Prague
Devonian,Czechia
Devonian,Conodont
Devonian,Siphonodella
Permian,China
Permian,Oxygen
Permian,Carbon_dioxide
Permian,Parts_per_million
Permian,Geologic_period
Permian,Roderick_Murchison
Permian,Great_Perm
Cambrian,Brachiopod
Cambrian,Halkieriid
Cambrian,Helcionelloida
Cambrian,Hyolith
Cambrian,Baykonurian_glaciation
Cambrian,Dresbachian
Cambrian,Glacial_period
Megaannum,Integer
Megaannum,Intercalation_(timekeeping)
Megaannum,Leap_Day
Megaannum,Revised_Julian_calendar
Megaannum,Eastern_Orthodox_Church
Megaannum,Northward_equinox
Megaannum,Tropical_year
Megaannum,Parts_per_million
Megaannum,Lunisolar_calendar
Megaannum,Leap_month
Megaannum,Hebrew_calendar
Triassic,Germany
Triassic,Buntsandstein
Triassic,Muschelkalk
Triassic,Keuper
Holocene,Middle_kingdoms_of_India
Holocene,Middle_Ages
Holocene,Early_modern_period
Holocene,Late_modern_period
Penguin,Sequiwaimanu
Penguin,Tasidyptes
Penguin,Tereingaornis
Penguin,Archaeospheniscus
Penguin,Duntroonornis
Penguin,Platydyptes
Sun,The_Sun_(disambiguation)
Sun,Visible_light
Sun,Solar_filter
Sun,Sunspot
Sun,Limb_darkening
Sun,False_color
Sun,Ultraviolet_light
Earth,Earth_(disambiguation)
Earth,Planet_Earth_(disambiguation)
Earth,The_Blue_Marble
Earth,Apollo_17
Earth,Provisional_designation_in_astronomy
Earth,Gaia
Earth,Terra_(mythology)
Earth,Globe
Earth,List_of_adjectivals_and_demonyms_of_astronomical_bodies
Earth,Osculating_orbit
Flight_feather,Vortex
Flight_feather,Drag_(force)
Flight_feather,Bald_eagle
Flight_feather,Grebe
Flight_feather,Stork
Flight_feather,Flamingo
Flight_feather,Ostrich
Flight_feather,Passerine
Season,Cloud
Season,Cumulonimbus_cloud
Season,Arcus_cloud
Season,Downburst
Season,Microburst
Season,Heat_burst
Season,Derecho
Season,Lightning
Season,Volcanic_lightning
Axial_tilt,Right-hand_rule
Axial_tilt,International_Astronomical_Union
Axial_tilt,Invariable_plane
Axial_tilt,Solar_System
Axial_tilt,Venus
Axial_tilt,Retrograde_motion
Earth%27s_orbit,Diurnal_motion
Earth%27s_orbit,Fixed_stars
Earth%27s_orbit,Solar_day
Earth%27s_orbit,Orbital_speed
Earth%27s_orbit,Lunar_distance_(astronomy)
Earth%27s_orbit,Moon
Earth%27s_orbit,Clockwise
Chordate,Taxonomy_(biology)
Chordate,Animal
Chordate,Eumetazoa
Chordate,ParaHoxozoa
Chordate,Bilateria
Chordate,Nephrozoa
Chordate,Deuterostome
Chordate,Ernst_Haeckel
Chordate,Pikaiidae
Chordate,Tunicata
Chordate,Palaeospondylus
Taxonomy_(biology),Parallel_evolution
Taxonomy_(biology),Extinction
Taxonomy_(biology),Abiogenesis
Taxonomy_(biology),Evolutionary_history_of_life
Taxonomy_(biology),Timeline_of_the_evolutionary_history_of_life
Family_(biology),Pierre_Andr%C3%A9_Latreille
Family_(biology),Arthropod
Family_(biology),De_Candolle_system
Family_(biology),Augustin_Pyramus_de_Candolle
Family_(biology),Bentham_%26_Hooker_system
Family_(biology),George_Bentham
Family_(biology),Joseph_Dalton_Hooker
Family_(biology),Systematics
Emperor_penguin,Squid
Emperor_penguin,Hemoglobin
Emperor_penguin,Barotrauma
Emperor_penguin,Metabolism
Emperor_penguin,Seabird_colony
Emperor_penguin,Species_description
Emperor_penguin,Genus
Emperor_penguin,Ancient_Greek
Emperor_penguin,Specific_name_(zoology)
Emperor_penguin,Johann_Reinhold_Forster
Great_auk,Carl_Linnaeus
Great_auk,10th_edition_of_Systema_Naturae
Orbital_period,Semi-major_and_semi-minor_axes
Orbital_period,True_anomaly
Orbital_period,Two-body_problem
Orbital_period,Circular_orbit
